Local time,Open,High,Low,Close,Volume
30.10.2020 22:00:00.000 GMT+0100,13615,14069,13406,13827,2.3707
31.10.2020 22:00:00.000 GMT+0100,13827,13880,13610,13800,2.777799999999999
01.11.2020 23:00:00.000 GMT+0100,13799,13821,13198,13603,1.1757
02.11.2020 23:00:00.000 GMT+0100,13603,13785,13276,13726,1.2075
03.11.2020 23:00:00.000 GMT+0100,13726,14256,13527,14000,1.1278000000000004
04.11.2020 23:00:00.000 GMT+0100,14000,15298,13984,15229,1.5282999999999998
05.11.2020 23:00:00.000 GMT+0100,15231,15951,15189,15529,1.8742000000000003
06.11.2020 23:00:00.000 GMT+0100,15522,15750,14355,14818,2.011
07.11.2020 23:00:00.000 GMT+0100,14806,15634,14665,15320,1.4491999999999998
08.11.2020 23:00:00.000 GMT+0100,15320,15835,14810,15368,1.6355
09.11.2020 23:00:00.000 GMT+0100,15367,15459,15077,15367,1.2607
10.11.2020 23:00:00.000 GMT+0100,15367,15976,15270,15820,1.3618000000000001
11.11.2020 23:00:00.000 GMT+0100,15820,16203,15462,16149,1.357
12.11.2020 23:00:00.000 GMT+0100,16149,16471,15955,16272,1.2813999999999999
13.11.2020 23:00:00.000 GMT+0100,16264,16349,15703,15982,2.7543999999999995
14.11.2020 23:00:00.000 GMT+0100,15979,16147,15802,15834,2.6558000000000006
15.11.2020 23:00:00.000 GMT+0100,15833,16869,15776,16685,1.3475
16.11.2020 23:00:00.000 GMT+0100,16685,17860,16554,17623,1.5143
17.11.2020 23:00:00.000 GMT+0100,17624,18465,17227,17766,2.0162
18.11.2020 23:00:00.000 GMT+0100,17766,18176,17343,17933,1.56
19.11.2020 23:00:00.000 GMT+0100,17933,18811,17705,18565,1.7336999999999998
20.11.2020 23:00:00.000 GMT+0100,18564,18955,18341,18648,3.5176000000000003
21.11.2020 23:00:00.000 GMT+0100,18643,18740,17603,18568,5.614000000000001
22.11.2020 23:00:00.000 GMT+0100,18571,18759,17988,18405,2.0927000000000002
23.11.2020 23:00:00.000 GMT+0100,18405,19420,18060,18925,1.9702000000000002
24.11.2020 23:00:00.000 GMT+0100,18920,19480,18624,18860,1.5178
25.11.2020 23:00:00.000 GMT+0100,18860,18910,16203,17031,2.8597
26.11.2020 23:00:00.000 GMT+0100,17030,17454,16425,16980,2.0816
27.11.2020 23:00:00.000 GMT+0100,16980,17870,16856,17741,1.7624
28.11.2020 23:00:00.000 GMT+0100,17730,18329,17520,18248,1.7182000000000002
29.11.2020 23:00:00.000 GMT+0100,18248,19858,18067,19357,2.117
30.11.2020 23:00:00.000 GMT+0100,19358,19893,18120,19036,3.1577
01.12.2020 23:00:00.000 GMT+0100,19036,19320,18318,19131,2.9176000000000006
02.12.2020 23:00:00.000 GMT+0100,19131,19593,18862,19440,2.1778
03.12.2020 23:00:00.000 GMT+0100,19433,19532,18685,18797,2.0168
04.12.2020 23:00:00.000 GMT+0100,18797,19162,18490,18998,1.8726999999999998
05.12.2020 23:00:00.000 GMT+0100,18992,19323,18862,19224,1.5295999999999998
06.12.2020 23:00:00.000 GMT+0100,19219,19404,18886,19059,1.6204000000000003
07.12.2020 23:00:00.000 GMT+0100,19053,19274,18596,18748,1.638
08.12.2020 23:00:00.000 GMT+0100,18744,18808,17620,18499,2.2952999999999997
09.12.2020 23:00:00.000 GMT+0100,18499,18622,17886,18324,1.6856
